Household_ID,State,Rural_Urban,Household_Size,Monthly_Income,Education_Level,Employment_Status,Food_Expenditure,Housing_Expenditure,Transport_Expenditure,Healthcare_Expenditure,Other_Expenditures,Total_Expenditure,MPCE,Age_Household_Head,Gender_Household_Head,Electricity_Access,Internet_Access,Cooking_Fuel_Type,Water_Source,Sanitation_Facility,Vehicle_Ownership,Loan_Repayment,Savings,Mobile_Phones_Owned,TV_Ownership,Computer_Ownership,Internet_Data_Usage_GB,Type_of_Employment,Agricultural_Land_Owned,Financial_Aid_Received,Type_of_House,Debt_Amount,Insurance_Coverage
H00014,Uttar Pradesh,Rural,9,89899,Secondary,Self-Employed,15058,21923,7037,12298,1466,57782,6420.222222222223,36,Female,Yes,No,Wood,Well,No,1,19589,13019,1,Yes,Yes,234,Self-Employed,8,No,Own House,214648,Yes
H00015,Rajasthan,Rural,7,52701,Secondary,Self-Employed,19141,9876,1881,14204,17191,62293,8899.0,25,Female,Yes,Yes,LPG,River,No,2,14614,9702,1,No,Yes,324,Private,3,No,Own House,252539,No
H00016,West Bengal,Urban,1,24033,Postgraduate,Unemployed,6887,3887,8654,9326,19022,47776,47776.0,66,Male,Yes,Yes,Wood,Piped Water,No,2,6506,45563,0,Yes,No,264,Unemployed,4,No,Temporary Shelter,366486,Yes
H00017,Tamil Nadu,Urban,7,15805,Primary,Employed,5854,37854,1967,13589,12156,71420,10202.857142857143,33,Female,Yes,No,Wood,Piped Water,No,1,18156,34160,0,Yes,Yes,68,Private,8,No,Rented House,451104,Yes
H00018,Rajasthan,Rural,5,40851,No Schooling,Self-Employed,14458,37948,3238,7295,16393,79332,15866.4,27,Female,No,Yes,Other,Piped Water,No,1,17458,42254,4,Yes,Yes,444,Private,6,No,Rented House,8583,No
H00019,Rajasthan,Urban,6,31832,Primary,Unemployed,28782,3841,8072,13923,13589,68207,11367.833333333334,75,Male,Yes,No,Electricity,Other,No,2,8783,10240,3,Yes,Yes,138,Private,7,No,Temporary Shelter,300201,No
H00020,Uttar Pradesh,Rural,7,68437,Primary,Employed,16536,29756,9908,8466,16993,81659,11665.57142857143,50,Male,Yes,No,LPG,Piped Water,No,0,11170,21270,1,No,No,354,Unemployed,2,Yes,Own House,153676,Yes
H00021,Karnataka,Rural,5,18944,Higher Secondary,Employed,5558,7040,7247,494,4132,24471,4894.2,33,Female,Yes,No,Other,Well,No,2,14609,28930,3,No,No,218,Government,3,No,Temporary Shelter,288708,Yes
H00022,West Bengal,Rural,7,24873,Postgraduate,Self-Employed,11772,11304,1380,8412,6184,39052,5578.857142857143,66,Male,No,No,LPG,Other,Yes,1,7322,44640,0,No,Yes,195,Private,6,No,Rented House,323573,Yes
H00023,Maharashtra,Urban,9,45372,Higher Secondary,Employed,19345,31341,3649,11634,13766,79735,8859.444444444445,75,Female,Yes,No,Other,River,No,2,12174,6690,0,Yes,No,73,Private,3,Yes,Rented House,360744,Yes
H00024,Rajasthan,Urban,3,94464,Primary,Self-Employed,22231,5758,8776,9430,18799,64994,21664.666666666668,40,Female,Yes,No,Electricity,Well,No,2,16208,46845,4,No,Yes,102,Unemployed,1,Yes,Temporary Shelter,88393,Yes
H00025,Tamil Nadu,Urban,8,20379,Primary,Employed,25110,18010,8392,5530,17440,74482,9310.25,48,Female,No,Yes,Other,Other,Yes,0,2410,30709,2,Yes,Yes,224,Unemployed,9,No,Own House,377918,No
H00026,Karnataka,Urban,2,41751,Primary,Unemployed,5575,32658,4644,4855,604,48336,24168.0,74,Female,Yes,Yes,LPG,Piped Water,No,2,13636,17501,0,No,Yes,122,Self-Employed,5,No,Own House,28941,No
H00027,Karnataka,Urban,7,94822,Graduate,Self-Employed,27451,38782,1668,1309,2547,71757,10251.0,38,Male,No,Yes,Wood,River,Yes,2,9039,27829,1,Yes,Yes,101,Self-Employed,8,No,Temporary Shelter,448727,Yes
H00028,Maharashtra,Rural,2,10110,Higher Secondary,Self-Employed,4418,2375,3629,13660,17029,41111,20555.5,27,Female,No,No,Wood,Piped Water,Yes,2,14990,38044,4,No,No,263,Government,1,Yes,Rented House,300106,No
H00029,Rajasthan,Rural,4,59341,Primary,Employed,6198,34949,4145,3971,17757,67020,16755.0,58,Male,No,Yes,Electricity,Well,No,1,6441,45267,2,Yes,Yes,432,Government,0,Yes,Own House,169645,No
H00030,Tamil Nadu,Rural,7,17087,Secondary,Employed,3001,23092,3026,8763,17182,55064,7866.285714285715,57,Female,No,No,LPG,Well,Yes,1,8685,28745,4,Yes,Yes,407,Government,7,No,Temporary Shelter,383554,Yes
H00031,West Bengal,Rural,3,28762,Postgraduate,Self-Employed,23628,1490,4016,6323,9337,44794,14931.333333333334,74,Female,Yes,No,LPG,Other,No,0,13778,29147,0,No,No,486,Government,0,No,Rented House,418908,No
H00032,Delhi,Urban,2,87617,Postgraduate,Employed,29960,4729,3867,7847,15907,62310,31155.0,48,Male,No,No,LPG,Well,No,2,13191,22660,2,No,Yes,160,Private,0,Yes,Own House,58420,Yes
H00033,Tamil Nadu,Rural,7,14596,Secondary,Unemployed,9119,6974,7838,13305,6882,44118,6302.571428571428,33,Female,No,No,Electricity,River,Yes,1,9732,6747,3,No,No,232,Unemployed,2,Yes,Own House,82415,No
H00034,Maharashtra,Urban,1,23313,Postgraduate,Employed,22450,20680,4055,1374,19395,67954,67954.0,37,Male,Yes,Yes,Wood,Other,Yes,0,3956,21206,2,Yes,Yes,490,Self-Employed,4,Yes,Temporary Shelter,166835,No
H00035,Karnataka,Rural,8,71549,Graduate,Unemployed,21229,19324,5611,1364,1283,48811,6101.375,26,Male,Yes,Yes,Other,River,Yes,2,6553,6115,1,Yes,Yes,274,Private,8,Yes,Rented House,344157,No
H00036,West Bengal,Urban,3,28705,Graduate,Unemployed,11673,32334,7252,9484,870,61613,20537.666666666668,31,Female,Yes,Yes,Electricity,Piped Water,No,0,19478,21606,3,Yes,Yes,257,Unemployed,9,No,Own House,176752,No
H00037,Tamil Nadu,Urban,2,72364,No Schooling,Unemployed,29877,22398,945,9675,16408,79303,39651.5,72,Female,No,No,Other,River,No,0,2365,48713,3,No,Yes,310,Unemployed,1,Yes,Temporary Shelter,119012,No
H00038,Delhi,Rural,3,78445,No Schooling,Unemployed,27233,35650,6864,10403,986,81136,27045.333333333332,45,Female,Yes,Yes,Wood,River,Yes,0,6668,24167,1,Yes,No,138,Private,0,Yes,Own House,137465,Yes
H00039,Delhi,Rural,5,83645,No Schooling,Unemployed,7316,22292,4126,9237,15000,57971,11594.2,43,Female,No,Yes,Electricity,Well,No,0,5000,2156,3,No,Yes,226,Private,0,No,Rented House,120198,No
H00040,Uttar Pradesh,Rural,8,7023,Postgraduate,Employed,18244,36755,4516,10383,3696,73594,9199.25,49,Male,No,Yes,Wood,Piped Water,No,0,19731,31819,0,Yes,No,272,Self-Employed,7,Yes,Own House,33488,Yes
H00041,Uttar Pradesh,Rural,7,64796,Graduate,Unemployed,29356,39353,4375,8912,10052,92048,13149.714285714286,71,Female,Yes,No,Other,Well,Yes,0,3675,29428,2,No,No,425,Government,9,No,Rented House,152531,No
H00042,Gujarat,Urban,7,85073,Graduate,Employed,18806,4159,5997,4666,2761,36389,5198.428571428572,46,Female,Yes,Yes,LPG,Piped Water,Yes,0,12907,12276,2,Yes,No,316,Government,9,Yes,Own House,497845,No
H00043,Maharashtra,Rural,7,97197,Graduate,Unemployed,25099,33626,6738,5738,11313,82514,11787.714285714286,35,Female,Yes,No,LPG,Piped Water,Yes,2,17336,42871,1,Yes,Yes,386,Self-Employed,9,No,Own House,405770,No
H00044,Rajasthan,Rural,8,69429,Secondary,Self-Employed,13873,30351,761,12588,9648,67221,8402.625,57,Female,Yes,Yes,Other,River,Yes,2,19684,31985,0,No,No,85,Self-Employed,1,Yes,Temporary Shelter,168939,Yes
H00045,Tamil Nadu,Urban,1,66627,Graduate,Unemployed,6266,38298,5492,13148,9072,72276,72276.0,56,Female,Yes,No,LPG,Well,Yes,0,19563,21369,3,Yes,No,290,Government,8,No,Own House,209176,No
H00046,Tamil Nadu,Rural,4,38848,Secondary,Self-Employed,9549,18065,4525,14169,15508,61816,15454.0,45,Male,Yes,Yes,Other,River,Yes,2,15136,46615,2,Yes,No,468,Private,8,No,Rented House,102330,No
H00047,Rajasthan,Rural,6,42804,No Schooling,Unemployed,24700,22638,8783,7311,13585,77017,12836.166666666666,63,Female,No,Yes,Electricity,River,Yes,0,11155,3214,2,No,Yes,216,Government,1,Yes,Temporary Shelter,176087,Yes
H00048,Gujarat,Rural,9,20379,No Schooling,Unemployed,21094,2073,4722,8634,17122,53645,5960.555555555556,44,Male,No,Yes,Electricity,River,Yes,2,12219,13542,2,Yes,Yes,358,Unemployed,2,No,Rented House,267201,Yes
H00049,Karnataka,Rural,2,64664,Postgraduate,Unemployed,27028,19771,4675,3000,7343,61817,30908.5,32,Female,Yes,No,Electricity,Piped Water,Yes,1,3247,40251,2,No,No,65,Unemployed,1,No,Rented House,252570,Yes
H00050,Karnataka,Rural,1,32766,No Schooling,Self-Employed,12589,36461,9674,4807,1605,65136,65136.0,66,Female,No,Yes,LPG,Well,Yes,0,4415,1729,4,No,No,256,Self-Employed,5,Yes,Temporary Shelter,83026,No
H00051,Gujarat,Urban,2,73099,Postgraduate,Self-Employed,26453,30320,3943,11288,18270,90274,45137.0,61,Female,No,Yes,Wood,Well,No,1,19741,18027,1,Yes,Yes,134,Government,6,No,Rented House,5305,No
H00052,Karnataka,Rural,7,41060,Primary,Unemployed,28551,5340,5511,10994,10941,61337,8762.42857142857,33,Male,No,No,LPG,River,No,0,6472,31417,3,Yes,No,403,Government,5,No,Own House,323420,No
H00053,Uttar Pradesh,Rural,3,99733,Primary,Employed,3657,35924,1193,7462,10219,58455,19485.0,49,Female,No,No,LPG,Piped Water,Yes,0,4848,23996,3,Yes,No,426,Unemployed,2,Yes,Temporary Shelter,425956,No
H00054,Tamil Nadu,Rural,2,74122,Higher Secondary,Unemployed,20925,17184,8847,10665,18551,76172,38086.0,49,Male,No,No,Wood,Well,No,1,1037,28255,1,No,No,374,Government,2,Yes,Own House,241290,Yes
H00055,Gujarat,Rural,7,21087,Postgraduate,Self-Employed,8763,3580,2312,1741,3191,19587,2798.1428571428573,57,Male,No,No,Wood,Other,No,1,15634,18388,0,Yes,Yes,389,Self-Employed,1,No,Own House,417334,Yes
H00056,Tamil Nadu,Rural,2,53868,Higher Secondary,Unemployed,21459,29967,6224,14749,12364,84763,42381.5,26,Female,Yes,Yes,Wood,Well,No,1,8262,21515,1,No,No,54,Self-Employed,1,No,Rented House,399890,No
H00057,Rajasthan,Urban,3,28225,Higher Secondary,Self-Employed,5164,3159,1907,2965,2496,15691,5230.333333333333,43,Male,Yes,Yes,Wood,River,No,0,11066,36185,2,Yes,No,355,Unemployed,4,No,Rented House,173403,Yes
H00058,Delhi,Rural,7,11643,Primary,Self-Employed,29542,14900,8532,10506,1925,65405,9343.57142857143,70,Female,Yes,No,LPG,Other,No,1,15554,11351,2,Yes,Yes,242,Government,7,No,Own House,90534,Yes
H00059,Uttar Pradesh,Urban,4,98059,Postgraduate,Self-Employed,20437,12440,9908,4691,16878,64354,16088.5,44,Female,No,Yes,Other,Piped Water,No,1,7008,36984,1,No,No,251,Government,5,No,Temporary Shelter,146388,Yes
H00060,West Bengal,Urban,1,41727,Primary,Unemployed,10479,15678,1910,13099,7349,48515,48515.0,66,Male,Yes,No,Electricity,Other,Yes,2,15263,25674,1,Yes,Yes,20,Unemployed,8,Yes,Own House,147289,No
H00061,Uttar Pradesh,Rural,5,16005,Higher Secondary,Self-Employed,7737,13021,3997,3283,3747,31785,6357.0,65,Female,Yes,Yes,Other,Other,Yes,2,16238,9723,3,Yes,Yes,306,Private,4,No,Own House,460757,Yes
H00062,Gujarat,Rural,9,70697,Postgraduate,Self-Employed,21601,7772,4872,5556,19476,59277,6586.333333333333,66,Female,Yes,No,LPG,River,No,1,5642,21036,3,Yes,Yes,429,Private,9,Yes,Rented House,111045,No
H00063,West Bengal,Rural,8,21029,Higher Secondary,Unemployed,19831,2627,7894,2057,1990,34399,4299.875,53,Male,No,Yes,Wood,Well,No,1,16489,6223,4,Yes,No,162,Government,3,Yes,Rented House,407818,No
H00064,Delhi,Rural,9,19226,Graduate,Self-Employed,8009,9219,1051,969,18108,37356,4150.666666666667,30,Male,Yes,No,Electricity,Piped Water,Yes,1,17153,3161,4,Yes,No,355,Self-Employed,8,Yes,Own House,258554,No
H00065,Gujarat,Urban,9,68646,Postgraduate,Unemployed,18991,24464,9868,1622,19471,74416,8268.444444444445,41,Male,No,No,Electricity,Other,No,1,19324,40957,2,No,No,263,Private,9,Yes,Own House,349325,Yes
H00066,Maharashtra,Rural,7,65603,Postgraduate,Self-Employed,6552,31232,4832,8798,19948,71362,10194.57142857143,49,Male,Yes,Yes,Other,River,No,2,14531,36599,4,Yes,No,497,Government,4,No,Rented House,373051,Yes
H00067,Tamil Nadu,Rural,4,33731,Higher Secondary,Employed,20148,9488,1497,3172,14810,49115,12278.75,62,Male,Yes,Yes,LPG,Well,No,0,10384,39195,4,No,No,67,Private,0,No,Own House,13987,Yes
H00068,Delhi,Rural,5,73926,Graduate,Employed,11417,35949,4576,2072,17716,71730,14346.0,28,Male,Yes,Yes,LPG,Other,No,1,16336,28551,0,Yes,No,106,Unemployed,4,No,Rented House,49915,Yes
H00069,Tamil Nadu,Rural,1,10997,Secondary,Self-Employed,27811,19981,6599,5799,15901,76091,76091.0,54,Female,No,No,LPG,River,No,1,13661,16461,1,Yes,No,399,Private,4,Yes,Own House,13543,No
H00070,Karnataka,Rural,1,60506,Primary,Employed,11221,1901,6055,11086,13384,43647,43647.0,44,Male,No,Yes,Electricity,River,Yes,2,11687,16007,3,No,No,66,Private,4,Yes,Temporary Shelter,290088,No
H00071,Maharashtra,Rural,3,83229,Higher Secondary,Unemployed,4671,23444,4552,2469,19324,54460,18153.333333333332,27,Male,No,No,Other,River,Yes,1,13404,34914,4,Yes,Yes,198,Unemployed,1,No,Temporary Shelter,189313,No
H00072,Maharashtra,Urban,8,54815,Postgraduate,Employed,8519,19061,5803,5475,5295,44153,5519.125,47,Female,No,Yes,Electricity,Piped Water,No,1,4355,19705,3,Yes,No,191,Self-Employed,5,Yes,Own House,140216,Yes
H00073,Delhi,Urban,2,47092,Primary,Self-Employed,5962,3881,8618,4949,2146,25556,12778.0,75,Female,No,Yes,Electricity,Well,Yes,2,933,32356,4,No,No,1,Government,4,No,Rented House,371562,Yes
H00074,Maharashtra,Rural,4,67539,Primary,Self-Employed,14734,30863,6602,6771,16642,75612,18903.0,42,Male,Yes,No,Wood,Other,No,1,8766,11432,4,No,Yes,256,Self-Employed,1,Yes,Own House,38459,Yes
H00075,West Bengal,Rural,2,71077,Primary,Unemployed,15122,6622,5990,9573,14806,52113,26056.5,50,Male,Yes,No,Other,Well,No,1,5906,37932,2,Yes,No,441,Self-Employed,9,Yes,Own House,170899,No
H00076,Maharashtra,Rural,5,26817,Secondary,Self-Employed,21561,2378,9064,5272,17324,55599,11119.8,60,Female,No,Yes,Wood,Well,No,2,12572,29576,0,No,Yes,0,Private,7,Yes,Rented House,30741,No
H00077,Tamil Nadu,Urban,9,42861,No Schooling,Unemployed,5722,18632,6116,9831,6456,46757,5195.222222222223,32,Male,No,No,LPG,Other,No,0,12279,9545,1,No,No,357,Government,5,Yes,Own House,201087,Yes
H00078,Tamil Nadu,Rural,1,18428,Higher Secondary,Employed,6906,29311,2748,11445,14428,64838,64838.0,41,Male,Yes,No,Electricity,Well,No,1,10723,33590,1,No,No,114,Private,9,Yes,Rented House,126077,No
H00079,Gujarat,Urban,5,48934,No Schooling,Employed,9263,6650,1348,14906,10221,42388,8477.6,55,Female,No,Yes,Other,Piped Water,No,1,10611,29867,2,No,Yes,390,Unemployed,2,Yes,Own House,462950,No
H00080,Tamil Nadu,Rural,9,15258,No Schooling,Unemployed,15699,8036,6854,5663,11657,47909,5323.222222222223,61,Male,Yes,No,LPG,Other,No,0,8261,46157,2,Yes,Yes,87,Self-Employed,8,Yes,Rented House,74627,Yes
H00081,Gujarat,Rural,1,62775,No Schooling,Unemployed,23438,23499,9195,11725,2867,70724,70724.0,69,Female,No,Yes,Other,Other,No,2,4474,15310,1,Yes,No,196,Self-Employed,3,No,Own House,249783,Yes
H00082,Tamil Nadu,Rural,9,86580,Primary,Self-Employed,28051,38016,8570,7650,7196,89483,9942.555555555555,57,Male,Yes,Yes,Electricity,River,No,0,16638,24259,1,No,Yes,468,Unemployed,2,No,Temporary Shelter,375516,No
H00083,West Bengal,Rural,8,99947,Graduate,Employed,13088,5603,9394,11289,5690,45064,5633.0,51,Female,No,No,Other,Well,Yes,1,4787,7664,0,Yes,No,91,Government,6,Yes,Rented House,331885,Yes
H00084,Rajasthan,Urban,4,10469,Primary,Unemployed,2808,28773,4125,11295,5163,52164,13041.0,69,Female,No,Yes,LPG,Other,No,0,13575,41143,4,No,No,273,Self-Employed,7,Yes,Temporary Shelter,69177,No
H00085,Gujarat,Urban,5,33854,Primary,Employed,11170,20937,814,8620,7562,49103,9820.6,28,Female,Yes,No,Wood,Other,Yes,2,7862,21319,0,Yes,No,343,Self-Employed,6,No,Rented House,3543,Yes
H00086,Uttar Pradesh,Rural,5,11256,Postgraduate,Unemployed,18260,13632,2876,4159,4831,43758,8751.6,46,Male,Yes,Yes,Electricity,Piped Water,Yes,1,10956,28046,1,Yes,No,159,Government,0,Yes,Rented House,136663,No
H00087,Karnataka,Rural,6,81256,Postgraduate,Employed,29039,31607,9732,14815,19918,105111,17518.5,50,Female,No,No,Wood,River,No,2,10663,36687,4,No,No,172,Private,0,No,Rented House,241209,Yes
H00088,Delhi,Urban,7,38937,No Schooling,Self-Employed,19109,27337,4878,10285,12380,73989,10569.857142857143,56,Male,No,No,Electricity,Other,Yes,2,16120,3464,1,No,No,32,Unemployed,4,No,Rented House,488093,Yes
H00089,Tamil Nadu,Urban,8,6651,Primary,Employed,12693,1220,8949,1513,16746,41121,5140.125,48,Female,Yes,No,LPG,Piped Water,No,0,3742,4418,0,Yes,Yes,457,Government,7,No,Own House,318539,Yes
H00090,Maharashtra,Urban,8,55288,No Schooling,Employed,29938,5818,1074,8047,3762,48639,6079.875,70,Female,No,No,Electricity,Other,No,0,2035,11579,0,Yes,Yes,72,Unemployed,9,No,Own House,191506,No
H00091,Rajasthan,Urban,2,89730,Postgraduate,Employed,9701,8349,6085,1270,13820,39225,19612.5,59,Female,Yes,No,Wood,Other,No,2,1967,7498,0,Yes,Yes,432,Unemployed,2,No,Rented House,291199,No
H00092,Tamil Nadu,Rural,9,30051,Graduate,Employed,19600,6618,5992,9366,18991,60567,6729.666666666667,61,Male,Yes,Yes,Electricity,Other,No,2,1852,2552,4,No,No,416,Self-Employed,7,Yes,Own House,268260,Yes
H00093,Maharashtra,Urban,7,32386,Higher Secondary,Employed,22435,28464,9449,10130,7536,78014,11144.857142857143,56,Male,No,Yes,LPG,Piped Water,Yes,1,19567,21772,3,Yes,Yes,480,Government,2,Yes,Rented House,317629,No
H00094,Karnataka,Rural,4,80054,No Schooling,Self-Employed,20581,38344,3310,3485,19631,85351,21337.75,31,Female,Yes,No,Electricity,Well,Yes,2,10547,33293,3,No,No,454,Unemployed,3,No,Rented House,459513,No
H00095,Karnataka,Urban,4,21184,Graduate,Unemployed,16191,19255,8634,9149,5177,58406,14601.5,57,Male,Yes,Yes,Wood,Other,No,2,6618,13965,1,No,Yes,195,Private,9,Yes,Temporary Shelter,133479,Yes
H00096,Karnataka,Urban,8,38787,Higher Secondary,Employed,21190,25299,9796,3295,8472,68052,8506.5,55,Male,No,No,LPG,Other,Yes,0,13859,25445,4,No,No,283,Unemployed,6,No,Rented House,162666,Yes
H00097,Maharashtra,Urban,4,26621,Secondary,Self-Employed,27354,2462,6170,520,15829,52335,13083.75,79,Male,Yes,No,Wood,Well,Yes,2,8303,46375,2,Yes,No,86,Self-Employed,2,Yes,Rented House,66421,Yes
H00098,Tamil Nadu,Urban,6,80564,No Schooling,Employed,19356,16905,8215,2521,4764,51761,8626.833333333334,36,Female,Yes,Yes,Electricity,Other,Yes,2,11350,20459,3,No,No,308,Private,3,Yes,Own House,228803,No
H00099,Karnataka,Urban,5,82984,No Schooling,Employed,29386,25920,7067,755,3633,66761,13352.2,35,Male,Yes,Yes,Other,River,No,0,16566,8899,4,Yes,No,223,Private,7,Yes,Rented House,297555,Yes
H00100,West Bengal,Rural,3,64792,Secondary,Unemployed,24018,17252,3959,5139,12112,62480,20826.666666666668,48,Female,Yes,No,Wood,Other,Yes,1,164,23153,4,No,No,43,Government,3,Yes,Rented House,486571,No
H00101,Gujarat,Rural,2,50253,Secondary,Employed,15704,35836,6617,5632,18349,82138,41069.0,32,Female,No,No,Electricity,River,Yes,0,6958,34992,3,Yes,Yes,335,Private,8,Yes,Temporary Shelter,386259,No
H00102,Maharashtra,Urban,9,39051,No Schooling,Self-Employed,25867,6753,4492,1586,19095,57793,6421.444444444444,56,Female,Yes,No,Other,Well,Yes,0,2137,17784,4,Yes,No,493,Government,3,Yes,Own House,207733,No
H00103,Maharashtra,Urban,9,54811,Secondary,Self-Employed,4123,15175,8337,4963,14658,47256,5250.666666666667,62,Male,No,No,Other,Piped Water,No,2,10215,5115,4,No,Yes,438,Government,3,Yes,Own House,218102,Yes
H00104,Tamil Nadu,Rural,1,35447,Primary,Unemployed,27174,7191,703,11439,10235,56742,56742.0,46,Female,Yes,No,LPG,Well,Yes,2,16838,31765,3,No,No,137,Private,4,Yes,Temporary Shelter,99772,Yes
H00105,Maharashtra,Urban,3,88930,Higher Secondary,Employed,13533,18898,3275,10819,2189,48714,16238.0,58,Male,No,No,Other,Other,Yes,1,18669,8757,0,Yes,No,269,Government,0,No,Rented House,186516,No
H00106,Maharashtra,Urban,8,35254,Higher Secondary,Self-Employed,18608,19982,2492,7054,10263,58399,7299.875,43,Male,Yes,Yes,Wood,River,No,2,16925,22051,1,Yes,No,358,Government,6,No,Temporary Shelter,352265,No
H00107,Karnataka,Rural,6,89045,Higher Secondary,Employed,16448,15622,2743,14430,8227,57470,9578.333333333334,76,Female,No,No,Wood,Piped Water,Yes,1,6033,32163,2,No,Yes,35,Private,8,Yes,Own House,218653,Yes
H00108,Tamil Nadu,Urban,5,62418,Primary,Employed,16586,2001,8998,10396,8264,46245,9249.0,44,Female,Yes,No,Other,Other,No,1,2665,32843,1,No,No,33,Self-Employed,8,Yes,Temporary Shelter,385815,Yes
H00109,Karnataka,Urban,5,19472,Secondary,Employed,27416,24283,2187,10322,13503,77711,15542.2,38,Female,Yes,Yes,Electricity,Piped Water,No,1,13129,26621,0,Yes,Yes,87,Unemployed,0,Yes,Own House,219055,Yes
H00110,Gujarat,Rural,6,8471,Graduate,Unemployed,3814,22435,4609,7837,1318,40013,6668.833333333333,57,Male,Yes,No,Wood,Piped Water,No,1,12125,10831,0,Yes,No,145,Government,5,No,Temporary Shelter,373814,Yes
H00111,Rajasthan,Rural,7,13329,Secondary,Employed,15001,28223,2360,5041,14939,65564,9366.285714285714,34,Male,Yes,No,Wood,Other,No,2,6189,18844,4,No,Yes,15,Government,2,Yes,Rented House,498535,Yes
H00112,Gujarat,Rural,1,39865,No Schooling,Self-Employed,19490,38244,5676,13162,15577,92149,92149.0,40,Female,No,Yes,LPG,Well,No,0,13708,18523,1,Yes,Yes,232,Private,3,Yes,Rented House,157310,Yes
H00113,Rajasthan,Urban,9,51850,Postgraduate,Employed,18508,31024,1222,10555,5021,66330,7370.0,28,Female,No,No,Electricity,Other,No,0,18072,49176,0,No,Yes,420,Unemployed,7,No,Own House,104627,Yes
H00114,Karnataka,Rural,3,59220,Higher Secondary,Self-Employed,21630,31734,9471,13553,1624,78012,26004.0,51,Male,Yes,Yes,Other,Other,Yes,2,5095,17668,1,No,No,40,Unemployed,3,No,Temporary Shelter,172775,Yes
H00115,Gujarat,Rural,4,98808,Secondary,Employed,15380,1515,9220,4067,6160,36342,9085.5,52,Male,No,No,Electricity,Well,No,2,14409,47511,0,No,No,254,Government,7,No,Own House,166268,Yes
